Entity,Code,Year,Incidents
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,2
Austria,AUT,1973,2
Austria,AUT,1974,1
Austria,AUT,1975,2
Austria,AUT,1976,4
Austria,AUT,1977,5
Austria,AUT,1978,1
Austria,AUT,1979,5
Austria,AUT,1980,2
Austria,AUT,1981,3
Austria,AUT,1982,11
Austria,AUT,1983,0
Austria,AUT,1984,4
Austria,AUT,1985,4
Austria,AUT,1986,4
Austria,AUT,1987,4
Austria,AUT,1988,1
Austria,AUT,1989,2
Austria,AUT,1990,1
Austria,AUT,1991,3
Austria,AUT,1992,8
Austria,AUT,1993,6
Austria,AUT,1994,5
Austria,AUT,1995,12
Austria,AUT,1996,4
Austria,AUT,1997,1
Austria,AUT,1998,1
Austria,AUT,1999,0
Austria,AUT,2000,0
Austria,AUT,2001,0
Austria,AUT,2002,0
Austria,AUT,2003,0
Austria,AUT,2004,0
Austria,AUT,2005,0
Austria,AUT,2006,1
Austria,AUT,2007,1
Austria,AUT,2008,7
Austria,AUT,2009,3
Austria,AUT,2010,0
Austria,AUT,2011,1
Austria,AUT,2012,0
Austria,AUT,2013,1
Austria,AUT,2014,0
Austria,AUT,2015,0
Austria,AUT,2016,3
Belgium,BEL,1970,1
Belgium,BEL,1971,0
Belgium,BEL,1972,1
Belgium,BEL,1973,1
Belgium,BEL,1974,5
Belgium,BEL,1975,0
Belgium,BEL,1976,1
Belgium,BEL,1977,1
Belgium,BEL,1978,8
Belgium,BEL,1979,8
Belgium,BEL,1980,8
Belgium,BEL,1981,6
Belgium,BEL,1982,1
Belgium,BEL,1983,8
Belgium,BEL,1984,10
Belgium,BEL,1985,21
Belgium,BEL,1986,3
Belgium,BEL,1987,1
Belgium,BEL,1988,5
Belgium,BEL,1989,7
Belgium,BEL,1990,2
Belgium,BEL,1991,6
Belgium,BEL,1992,9
Belgium,BEL,1993,7
Belgium,BEL,1994,5
Belgium,BEL,1995,1
Belgium,BEL,1996,0
Belgium,BEL,1997,2
Belgium,BEL,1998,3
Belgium,BEL,1999,2
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,3
Belgium,BEL,2003,8
Belgium,BEL,2004,0
Belgium,BEL,2005,0
Belgium,BEL,2006,0
Belgium,BEL,2007,1
Belgium,BEL,2008,0
Belgium,BEL,2009,1
Belgium,BEL,2010,0
Belgium,BEL,2011,0
Belgium,BEL,2012,1
Belgium,BEL,2013,0
Belgium,BEL,2014,2
Belgium,BEL,2015,0
Belgium,BEL,2016,6
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
